name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Zack Tidwell,RB,5-8.5,161,4.84,4.31,29.0,30.0,66.30
Jared Tucker,WR,5-11,150,4.86,4.47,29.1,34.0,66.30
Jondarius Gardner,DL,6-2,276,5.58,5.13,24.7,37.5,66.21
Jake Myer,QB,6-2,192,5.13,4.31,25.3,33.5,66.18
Julian Thomas,LB,6-2.5,194,4.88,4.68,29.1,33.0,66.12
Quentin Hunt,WR,5-9,165,4.78,4.47,31.4,29.5,66.06
Jarius Moore,QB,5-9,187,4.74,4.57,25.8,32.0,66.03
Arie Anderson,DL,5-11,271,5.53,4.96,27.5,34.0,66.03
Elisha Wilson,CB,5-9,174,4.92,4.59,34.0,30.5,65.97
Sean Bruhn,TE,6-3,214,5.02,4.66,26.5,35.0,65.94
Dru Moody,WR,6-0,183,5.15,4.32,28.8,32.0,65.94
Blake Norwood,QB,6-.5,187,4.74,4.66,26.8,32.5,65.91
Joey Denison,LB,5-9.5,181,5.10,4.41,29.9,32.5,65.88
Amadi Bullock,DE,5-10.5,229,5.34,4.62,27.0,35.0,65.79
Michael Catalanello,DL,5-8.5,238,5.13,4.84,30.2,31.5,65.79
Jesus Gallardo,DL,5-8,245,5.25,4.75,26.9,34.0,65.76
Kendrick Bailey,DL,6-1.5,243,5.37,4.90,27.1,36.5,65.70
Patrick Smith,QB,5-10.5,185,4.85,4.87,28.2,36.0,65.64
Kavoseay Mc Millian,WR,6-1,152,4.87,4.63,30.9,35.0,65.58
Aaron Thompson,S,6-.5,172,4.78,4.53,32.5,28.5,65.58
Gregory Willard,CB,5-7,154,4.71,4.53,32.6,29.0,65.55
Matthew Jordan,QB,6-.5,179,4.72,4.78,27.1,34.0,65.55
Trey Turner,QB,6-0,163,4.86,4.78,31.2,35.0,65.43
Ryan Golden,WR,5-8,161,4.72,4.66,28.3,33.5,65.40
Ladarius Waldrop,RB,5-7.5,174,4.89,4.38,29.5,30.0,65.37
Peyton Otis,RB,5-9,196,4.97,4.57,28.2,33.0,65.34
Tre Williams,LB,6-1.5,216,4.93,4.78,29.3,31.5,65.28
Quinterris Toppings,QB,6-0,214,4.98,5.16,30.5,34.5,65.16
Jacorea Poole,LB,5-9,181,4.86,4.60,31.6,30.5,65.13
