name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Jimmy Davis,WR,5-11,141,5.19,4.70,23.6,25.0,31.89
Davidson Moline,DL,5-9,223,5.59,5.12,20.4,28.0,31.86
Jemal Reid,WR,5-9,146,5.04,4.90,27.6,22.0,31.86
Alexander Green Ortiz,OL,5-11,183,5.61,5.03,23.9,29.0,31.80
Joshua Huffman,DL,5-11,238,5.79,5.09,19.6,27.5,31.71
Ryan O'donnell,CB,5-9,139,5.06,4.97,24.4,26.0,31.53
Greard McGruder,WR,6-0,172,5.19,4.93,25.4,23.5,31.53
Matthew Lusignan,QB,6-3,161,5.46,4.72,22.0,27.5,31.50
Brandon Letcher,LB,6-0,203,5.68,4.91,20.5,28.5,31.47
Stephen Marinas,RB,5-9,126,5.32,4.87,25.0,28.5,31.35
Tyler Orgera,DL,5-10,201,5.48,5.35,23.4,28.0,31.29
Robert Ball,RB,5-6,159,5.52,4.68,22.3,27.0,31.23
Rade Laganin,DE,6-0,198,5.46,5.28,24.0,27.0,31.08
"Armando Rodriguez, Iii",DE,5-11,203,5.30,4.84,17.7,26.5,31.05
Cameron Hall,CB,5-9,148,5.30,4.75,25.0,25.0,30.87
Thomas Stutts,TE,6-2,176,5.63,5.16,25.0,29.0,30.78
Deshawn Cumberbatch,DE,5-9,168,5.25,4.93,25.2,24.5,30.78
Nick Weissman,DL,6-1,229,5.96,5.31,20.1,29.0,30.78
Riel Frazer,RB,5-9,130,5.17,4.92,27.9,25.0,30.63
Bobby Battista,OL,5-10,207,5.88,5.13,18.3,31.0,30.60
Tyler Moore,RB,5-8,168,5.41,4.87,20.0,28.5,30.57
Jontae Murphy,WR,5-6,154,5.22,4.96,23.2,27.0,30.54
Logan Parker,LB,5-9,227,5.78,5.22,20.7,27.5,30.51
Ronnie Fountain Jr.,RB,5-7,123,5.27,4.78,24.6,26.5,30.42
Dave Williams,DE,5-9,172,5.52,4.94,23.6,28.0,30.33
Malik Washington,CB,5-7,139,5.33,4.91,24.6,28.0,30.30
Norris Davis,OL,6-2,265,6.60,5.47,19.4,27.5,30.30
Bricen Broccone,OL,6-0,251,6.02,4.92,16.8,26.5,30.27
Ty Coufal,S,5-8.5,150,5.15,4.81,21.4,25.0,30.27
Chase Morgan,WR,5-11,176,5.41,4.71,20.8,25.0,30.21
Kevin Delva,CB,5-6,137,5.02,4.94,23.9,24.0,30.18
Loren Curry,RB,5-8,152,5.15,4.91,25.6,23.5,30.15
Jomar Santos,DE,6-1.5,192,5.51,4.91,23.6,25.0,30.15
Nimshi Howard,RB,5-5,148,5.29,4.66,25.3,22.0,30.06
Victor Ruiz,CB,5-11,154,5.18,5.07,21.3,28.0,30.00
Brett Stake,DL,6-1,207,5.77,5.16,21.4,28.5,30.00
Jahmari Walden,QB,5-9,141,5.34,4.71,24.1,25.0,29.97
Zach Gaines,OL,6-2.5,278,6.24,5.34,14.6,28.5,29.91
Andre Kanoa Belles Flores,QB,5-8,143,5.22,4.93,23.0,27.0,29.85
Khai Perkins,CB,5-9,141,5.34,4.69,24.6,24.0,29.70
Tiagpaul Bhamber,CB,5-5,130,5.25,4.71,26.3,23.0,29.70
Onix Franceschini,WR,5-5,170,5.59,4.88,22.6,28.0,29.64
Nathan Kagolanu,LB,5-7,154,5.37,4.81,23.4,26.0,29.58
Joshua Kendrick,DL,5-6,176,5.56,5.00,22.2,28.5,29.52
Chris Hudson,OL,6-4,273,6.32,5.56,16.9,28.0,29.46
Kyle Smalt,WR,6-1,161,5.43,5.03,26.3,26.5,29.43
Paige Gallon,CB,5-6.5,150,5.23,5.19,26.1,27.0,29.31
Austin Hunt,QB,5-10,148,5.03,4.87,23.8,21.0,29.28
Wenxiang He,LB,5-11.5,227,5.52,5.82,22.3,26.0,29.28
Isaac Morales,DB,5-9,143,5.24,4.94,24.5,26.0,29.13
Rayshawn Herring,RB,5-7,143,5.31,4.69,23.5,23.5,29.13
Brandon Johnson,S,5-10,159,5.26,5.09,27.3,24.0,28.89
Jeremy Lopez,OL,5-11,247,6.19,5.56,18.5,29.0,28.86
Dominic King,RB,5-6,172,5.33,4.97,24.0,25.0,28.83
D'Jimon Arrington,CB,5-8,123,5.24,4.72,27.8,21.5,28.77
Jonathan Brinson,S,5-7,141,5.25,4.84,24.5,24.5,28.65
Kentavius Moore,DL,5-6,240,5.91,5.34,21.6,24.0,28.65
Clarence Williams,WR,5-10.5,170,5.62,4.87,25.8,24.5,28.62
James Mathews,DL,6-1,304,7.54,6.09,15.3,27.5,28.53
Matthew Rollins,CB,5-7,134,5.47,4.82,28.1,25.0,28.50
Austin Barrett,TE,6-0,194,5.56,4.94,19.4,27.5,28.47
Mickey Reagan,DL,5-8,355,7.39,6.52,11.2,24.5,28.44
Dalton Pawley,OL,5-8.5,216,6.00,5.21,19.9,29.0,28.35
Denzel Irvin,CB,5-10,143,5.33,5.13,29.1,25.0,28.32
Austin Stroup,DL,5-11,220,6.04,5.16,19.0,29.0,28.29
Devn Dugazon,LB,5-10.5,172,5.27,5.00,20.5,26.5,28.29
Christian Cruz,WR,5-7,143,5.03,5.09,23.6,23.5,28.02
